,review_body,stars,language,translated_review
11,"Mi madre ha quedado encantada, es super potente... Calidad/Precio de lo mejor... Compra 100x100 Recomendable... ¡Perfecta e inigualable!. Un 10",5,es,"My mother has been delighted, she is super powerful ... quality/price of the best ... Buy 100x100 recommended ... perfect and unique!A 10"
12,"Tuve que devolverlo porque me quedaba excesivamente grande, aún con el tamaño ajustable.",3,es,"I had to return it because I was excessively large, even with the adjustable size."
13,"Tiene densidad, buen agarre y una longitud considerable, me gustaría que fuera unos 10 cm más ancha. Buena compra, espero que dure. Con el tiempo veré si mereció la pena.",5,es,"It has density, good grip and considerable length, I would like it to be about 10 cm wider.Good purchase, I hope it lasts.Over time I will see if it was worth it."
14,"La medida de la parrila, a pesar de es estándar no se que le ocurre que no se sujeta a las marcas del horno y al poner algún recipiente de comida con algo de peso se resbala y se cae de un lado. No se ajusta a las medidas o esta mal medida...no lo recomiento porque no deja cocinar en ella al caerse al colocarle alguna bandeja de horno por ejemplo.",1,es,"The measure of the barbecue, despite this standard I do not know what happens to him that it is not subject to the oven marks and when putting some food container with some weight it slips and falls on one side.It does not fit the measures or this bad measure ... I do not recommend it because it does not let it cook on it when it falls by placing a baking sheet for example."
15,"Ha sido una gran decepcion recibir un bote de slime enano. en la foto lo sujetan dos manos adultas y parece que será grande, y es minusculo :(",1,es,"It has been a great disappointment to receive a dwarf slime boat.In the photo they are held two adult hands and it seems that it will be great, and it is disappointment :("
16,"Una cinta de embalar normal transparente, de la que puedes comprar en cualquier tienda de todo a 1 euro, precio normal.",3,es,"A transparent normal packing tape, which you can buy at any store at 1 euro, normal price."
17,La funda en color Magenta no coincide con los colores de la foto. Los colores de la parte trasera y delantera son en diferente tono.,2,es,The Magenta case does not match the colors of the photo.The colors of the rear and front are in different tone.
18,"He recibido a Axl y estoy totalmente satisfecho de la calidad del producto y del envío del mismo, muchas gracias",4,es,"I have received Axl and I am totally satisfied with the quality of the product and its sending, thank you very much"
19,"La verdad es que esperaba un poco más de luz... tuve otras en otro coche con menos potencia y menos lumenes y claro, más baratas, que alumbraban más...",3,es,"The truth is that I expected a little more light ... I had others in another car with less power and less lumens and clear, cheaper, than they lit ..."
20,Todo bien en general,4,es,All good in general
21,"Me ha gustado , pero cuesta sacar tds los pelos , x eso ñe doy las 3 estrellas. Ad+ al mes d usarlo , se despega la banda azul..",3,es,"I liked it, but it is difficult to get the hair, x that I give the 3 stars.Ad+ a month D use, the blue band takes off .."
22,"Una mierda de producto, es de goma y no informan. Una estafa total",1,es,A product shit is rubber and do not report.A total scam
23,"No suelo opinar sobre productos hasta dar una oportunidad, y con este tuve 20 oportunidades, no se como hacen los demás para decir que funciona, en mi caso no, y lo intenté muchas veces pero aun así no dio resultado.",1,es,"I do not usually think about products until we give a chance, and with this I had 20 opportunities, I don't know how others do to say that it works, in my case, and I tried many times but still did not work."
24,es una alfombra de baño que es agradable al tacto pero con el problema de que cuando se moja apesta a perro muerto. se puede meter en la lavadora y el secado es conveniente al aire libre pero claro que puede coger más bichos que en la cama de un rojo.,3,es,It is a bathroom carpet that is pleasant to touch but with the problem that when it gets wet you stink of dead dog.It can be put in the washing machine and drying is convenient outdoors but of course you can take more bugs than in the bed of a red.
25,Económicas pero se le ve mucho la Junta de la unión de plástico,4,es,Economic but the Board of the Plastic Union is seen a lot
26,"Venía roto la pantalla led. No he probado aún su funcionamiento. Embalaje regular. La caja del producto venía sucia, no recomiendo su compra.",2,es,"The LED screen was broken.I have not tried its operation yet.Regular packagingThe product box came dirty, I do not recommend its purchase."
27,"son etiquetas muy toscas, está bien para etiquetar mobiliario o artículos de envergadura pero no para ropa o complementos. Por lo demás calidad precio bien",2,es,"They are very coarse labels, it is fine to label furniture or wingspan but not for clothing or accessories.Otherwise price well"
28,Todavía estoy esperando a que me llegue el día 7 de marzo y estamos a 21 y no ha llegado.,3,es,I am still waiting for me to arrive on March 7 and we are at 21 and it has not arrived.
29,"Pedí mi producto, espere mad de un mes y un día por casualidad me enteré que estaba en aduanas, por lo nunca me llegó. Dilución del vendedor, que pagará las aduanas y si no eran muy caras me las reembolsaban... jaja. Evidentemente le dije que yo compraban para que me lo envíen a casa y no tenga yo que ir al aeropuerto. El vendedor pasó completamente del tema y tras muchos intentos de que me devolviera el dinero, finalmente tuve que ponerle una reclamación en Amazon.",1,es,"I asked for my product, wait a month and one day by chance I learned that I was in customs, for the never came to me.Dilution of the seller, who will pay the customs and if they were not very expensive they were reimbursed ... haha.Obviously I told him that they bought to send it to me home and I don't have to go to the airport.The seller went completely on the subject and after many attempts to return my money, I finally had to put a claim on Amazon."
30,Tarda mucho en filtrar,2,es,It takes a long time to filter
31,No me a llegado.... vergonzoso no vuelvo a comprar nada mas en AMAZON. Espero que lo vea cuanto mas gente posible,1,es,I will not get to me .... shameful I do not buy anything else at Amazon.I hope I see how much more possible people
32,"Súper satisfecho con esta cámara. Buscaba alguna cámara barata para controlar en determinadas ocasiones al bebé pero sin gastarse 100€ que cuestan las de primeras marcas. He de decir que cumple perfectamente su cometido. Aunque el material es de un plástico sencillo, la cámara funciona a la perfección dando una imagen más que aceptable incluso en condiciones de poca luz, así como en modo nocturno. Puedes escuchar al bebé cuando llora e incluso hablarle a través del comunicador. Como siempre el servicio Prime de Amazon excelente.",4,es,"Super satisfied with this camera.He was looking for a cheap camera to control the baby on certain occasions but without spending € 100 that cost the first brands.I have to say that its mission fulfills perfectly.Although the material is of a simple plastic, the camera works perfectly giving a more than acceptable image even in low light conditions, as well as in nocturnal mode.You can listen to the baby when he cries and even talk to him through the communicator.As always, the Prime Amazon service."
33,Un pelín grande para un niño de 2 años,3,es,A big tad for a 2 year old boy
34,El tejido raya lo translúcido. Muy delgados. Desde luego no valen para el frío. La calidad es tan mínima como el precio.,2,es,The translucent stripe tissue.Very thin.Of course they are not worth the cold.Quality is as minimal as the price.
35,"Lleva casi dos meses con la alfombra, el olor que desprende es insoportable y no se quita con nada, debe ponerse en un sitio ventilado; y no hay manera de que quede plana, está llena de arrugas",3,es,"It has been with the carpet for almost two months, the smell it gives off is unbearable and is not removed with anything, it must be put in an ventilated place;And there is no way to be flat, it is full of wrinkles"
36,Dicroicas LED para ahorrar en consumo electrico. Al ser de 3000k tiene una Tonalidad blanca càlida pero amarilla como ocurre con las de 2700k,3,es,DICROICAS LED to save on electrical consumption.Being 3000k has a white but yellow white hue as is the case with those of 2700k
37,"A mis hijas les han gustado, vienen dos dentro del huevo, el momento de salir del huevo la verdad que estuvo chulo, tuvo su gracia, pero aparte de eso no veo que sea un juguete muy especial. Hacen ruidos, uno de ellos mueve la cabeza, los ojos cambian de color y según eso sabes que quieren o que les pasa mirando el papel que trae diciéndote que significa cada cosa que hacen, pero estoy seguro que cuando se queden sin pilas seguro que ya ni los mirarán y pasará a ser un peluche más en la casa con el que jugar. Pros: El momento de salir del huevo a los niños les encanta. Contras: Creo que no valen el dinero que se paga por ellos.",3,es,"My daughters liked, two come inside the egg, the time to get out of the egg the truth that was cool, had its grace, but apart from that I do not see that it is a very special toy.They do noises, one of them moves their heads, the eyes change color and according to that you know or what happens to them by looking at the role it brings you telling you what everything they do means, but I am sure that when they are left without batteries, surely I will surely alreadyThey will not look at them and become another stuffed in the house with which to play.Pros: The time to get out of the egg children loves.Cons: I think the money that is paid for them is not worth."
38,"Dentro de la gama barata de auriculares bluetooth son los más pequeños y robustos que he tenido. Calidad audio buena para su precio. Duración de la batería 6-8h en funcionamiento a volumen máximo. La única pega, es que se ha despegado la goma que recubre los botones, pero la he vuelto a pegar y sin problema. Por lo demás, han aguantado que me quede dormido con ellos a diario y sin problemas de cableado.",4,es,"Within the cheap Bluetooth headphones range are the smallest and robust I have had.Good audio quality for its price.6-8h battery life in maximum volume.The only paste is that the rubber that covers the buttons has taken off, but I have hit it again and without problem.For the rest, they have endured that I fell asleep with them daily and without wiring problems."
39,Son malisimos y muy incomodos.Segun me comenta la persona a la que se los compre.,2,es,They are bad and very uncomfortable. He says the person to whom he is bought.
40,"Aun no estoy muy convencido de que mantenga en vacio en el interior de las botellas, no tengo forma de saber si ha hecho el vacío porque al abrir el tapón tampoco hace un sonido de expulsar el aire.",2,es,"I am not very convinced that I keep empty inside the bottles, I have no way of knowing if it has made the void because when you open the cap, it does not make a sound of expelling the air."
41,"En este artículo viene incompleto no me enviaron la paleta, viene sin ella.",2,es,"In this article comes incomplete they did not send my palette, it comes without it."
42,Cuadernos clásicos que siempre cumplen. Marca de calidad,4,es,Classic notebooks that always meet.Quality brand
43,La batería dura poco,3,es,The battery lasts little
44,Instrucciones en Inglés.,1,es,English instructions.
45,He usado alguna de recambio los últimos años pero esta última vez la bateria venia defectuosa y solamente carga hasta el 75%.,1,es,I have used some replacement for the last years but this last time the battery came defective and only loads to 75%.
46,Dos meses esperando el pedido y nunca llegó.,1,es,Two months waiting for the order and never arrived.
47,"La mesa es fácil de montar y muy bonita, pero la calidad es mala, solo hace 3 meses que la tengo y se despega sola.",2,es,"The table is easy to mount and very beautiful, but the quality is bad, only 3 months ago I have it and take off alone."
48,"Las compré para un regalo y le han encantado. Hace poco que las tiempo, no se como responderá con el paso del tiempo",4,es,I bought them for a gift and loved it.I recently do not know how he will respond over time
49,"No es muy cómodo para utilizar plegado, no se mantiene. Eso sí, el color muy chulo!",3,es,"It is not very comfortable to use folding, it is not maintained.Of course, the very cool color!"
50,"No me ha gustado casi nada, y no se puede devolver, asi que mal.",1,pt,"I did not like almost anything, and it cannot be returned, so badly."
51,He comenzado a leerlo y me está gustando mucho,4,es,I have started reading it and I am a lot
52,"Aparentemente es bueno, pero no tiene potencia suficiente para abrir la puerta. He tenido que ponerle un relé porque con lo actual no llegaba a 12 v de potencia.",1,es,"It is apparently good, but it has no enough power to open the door.I have had to put a relay because with the current one it did not reach 12 V of power."
53,Trae perdida una piedra y no son de rosca.no me da la opción de reemplazarlos por los que no estoy contenta,1,es,Bring a stone and are not threaded. I do not give me the option to replace them with those that I am not happy
54,Buen producto lo malo es si te tumbas en la cama se ve al revés la hora y tienes que girarlo y la pantalla mirando a la pared,4,es,"Good product The bad is if you lie in bed, the time is seen in question and you have to turn it and the screen looking at the wall"
55,"Las medidas del mantón comprado eran 1,90 por 90. El mantón enviado es de 1,80 por 90. Los flecos son pobres y miden 20 cm. El mantón no reúne lo que ofrecen",1,es,The measures of the manton bought were 1.90 by 90. The manton sent is 1.80 by 90. The fringes are poor and measure 20 cm.The shaft does not gather what they offer
56,He probado con mi iPhone y 2 iPads y no funciona con ninguno de los tres.,1,es,I have tried with my iPhone and 2 iPads and does not work with any of the three.
57,"La llevo súper cómoda. No pesa nada, no sé desabrocha por el tipo de cierre que tiene y es muy bonita.",5,es,"I have her super comfortable.It weighs nothing, I don't know unbuttoned because of the type of closure it has and is very pretty."
58,"todo correcto ,un que podría tener un poco mas de peso para garantizar una estabilidad a la hora de afilar por que tienes que sujetarlo con una mano",3,es,"All correct, one that could be a little more weight to guarantee stability when it comes to sharpening because you have to hold it with one hand"
59,Están bien para los grandes pero minino de 22 y aun así keda justo,3,es,They are fine for the great but minino of 22 and still Keda Justo
60,"No cubre todo el cristal, ni siquiera toda la pantalla. Faltan 3 mm por cada lado",1,es,"It does not cover the entire glass, not even the entire screen.3 mm are missing on each side"
61,"Serà la segunda vez que la devuelvo porque funciona cuando le da la gana. Apenas la uso, la tengo siempre con las llaves para guardar datos en emergencias, al principio muy bien, pero al tiempo es casi un milagro que funcione. El connector es de plastico, asi que cuidado, se rompe con mirarlo. No la recomiendo para nada.",2,es,"It will be the second time I return it because it works when you want.As soon as I use it, I always have it with the keys to save data in emergencies, at first very well, but at the same time it is almost a miracle that works.The Connector is plastic, so be careful, it breaks to look at it.I do not recommend it at all."
62,"Producto que cumple su función bien. Escueto en longitud pero el material está bien. Lo he utilizado para reforzar lateral de las zapatillas deportivas que se estaban rompiendo. De momento a pegado bien, veremos si aguantan.",4,es,"Product that fulfills its function well.Successful in length but the material is fine.I have used it to reinforce lateral from the sneakers that were breaking.For now, we will see if they endure."
63,"El reloj función bien, lo único malo que lo use para natación, no tiene modo natación pero si ip68, se volvió loco y empezó a vibrar y al rato se sobrecalento y empezó a quemarme la muñeca.",3,es,"The function function well, the only bad thing that uses it for swimming, has no swimming mode but IP68, went crazy and began to vibrate and after a while it overlap and began to burn my wrist."
64,"Una presentación muy bonita para un producto que alumbra poco. El indicador de la batería no me funcionaba bien, no indicaba carga completa y parpadeaba constantemente. después de 8 horas pensé que tenía batería suficiente para probar la potencia de la luz y en su caso solicitar un cambio del producto por uno que funcionase bien el indicador de carga. Salida nocturna para probarla y tremenda decepción, no tiene potencia suficiente el haz de luz no sirve para salir en ruta nocturna en bicicleta por el campo. Te pude servir como linterna para casa o el coche o si vas andando pero en bici no se ve un pimiento, tengo una linterna antigua de 4 pilas normales que alumbra muchíiiisimo más. Lo devuelvo por el fallo del indicador de batería y porque no tiene la potencia suficiente que dicen.",1,es,"A very beautiful presentation for a product that illuminates little.The battery indicator did not work well, I did not indicate full load and constantly blin.After 8 hours I thought I had enough battery to test the power of the light and where appropriate, request a change of the product for one that the load indicator worked well.Night output to test it and tremendous disappointment, the beam of light does not have enough power to go out on a night -by -bike route through the field.I could serve as a flashlight for home or the car or if you are walking but a pepper is not seen by bike, I have an old lantern of 4 normal batteries that illuminates much more.I return it for the failure of the battery indicator and because it does not have the sufficient power they say."
65,"Esta linterna es una maravilla, puedes poner pilas o cargar la pila que lleva, estoy encantadisimo, la luz potente y muy clara, la verdad que muy satisfecho",5,es,"This flashlight is wonderful, you can put batteries or load the stack that it carries, I am delighted, the powerful and very clear light, the truth that very satisfied"
66,No me ha convencido mucho por el fuerte olor que desprende a piel .La solapa del hombro tampoco la trae.,3,es,He has not convinced me much because of the strong smell that gives off to skin. The shoulder flap does not bring it either.
67,"Seguro q funciona bien pero no me gusta nada el olor del producto. Estoy acostumbrada al Curl La la q es genial y huele de maravilla... Y pillé este para probar y no me gusta. La textura esas densa, rollo ""cera"" y el olor me mata",2,es,"Surely it works well but I don't like the smell of the product.I am used to Curl the Q is great and smells wonderful ... and I caught this to try and I don't like it.The texture those dense, roll ""wax"" and the smell kills me"
68,"el color es muy bonito, pero para el precio que tiene es finisimo, me parece demasiado caro para lo que es",2,es,"The color is very beautiful, but for the price it has it is finisimo, it seems too expensive for what it is"
69,No es compatible. Me están dando muchos problemas los cartuchos. No lo recomiendo,1,es,It is not compatible.Me están dando muchos problemas los cartuchos.No lo recomiendo
70,"La funda está bien acabada, es discreta y funcional. Fue un regalo para mi padre y responde muy bien a lo que estaba buscando.",5,es,"The case is well finished, it is discreet and functional.It was a gift for my father and responds very well to what I was looking for."
71,Son demasiado finas y se doblan,3,es,They are too thin and bend
72,"Las ventosas vienen totalmente planas y no se quedan pegadas en la pared. Las voy a devolver.bonitas, buen tamaño pero no cumplen su función",1,es,"The suction cups come totally flat and do not stuck on the wall.I'm going to return them. Bonites, good size but do not fulfill their function"
73,Muy bonitas y muy cómodas. Tal como se ven en el anuncio,4,es,Very beautiful and very comfortable.As seen in the announcement
74,"2 unidades mal ensambladas. La primera tenía una mota de polvo incrustada entre el display lcd y el digitalizador táctil, y la segunda tenía un plástico duro y azul que sobresalía del marco superior de la pantalla, provenía del interior y no se podía quitar. No me parece un mal tablet, pero sobre todo en este modelo se nota el abaratamiento de costes. Por parte de amazon, un 10 como siempre en la devolución.",2,es,"2 poorly assembled units.The first had a motorcycle of dust embedded between the LCD display and the tactile digitizer, and the second had a hard and blue plastic that stood out from the upper frame of the screen, came from the interior and could not be removed.It does not seem to me a bad tablet, but above all in this model you can see costs.By Amazon, a 10 as always in the return."
75,Es un libro escrito bajo una perspectiva muy práctica que te permite reflexionar sobre tu método comercial a la hora de abordar la preparacion y entrevista de venta,4,es,It is a book written under a very practical perspective that allows you to reflect on your commercial method when addressing the preparation and sales interview
76,"Falla el sensor de exteriores. Cuando lo pones dentro de casa va perfecto, pero al sacarlo a la ventana falla",2,es,"The exterior sensor fails.When you put it inside the house it goes perfect, but when you take it to the window you fail"
77,"No recibi el articulo, pero el servicio de atencion al cliente como del vendedor fueron de 10, me abonaron el importe",3,es,"I did not receive the article, but the customer service as the seller were 10, they paid the amount"
78,Cumple 100% su función. Estéticamente muy bonita.,5,es,It fulfills 100% its function.Aesthetically very beautiful.
79,"Un relato que como comentan otros clientes se te hace corto, muy bien documentado, la trama está bien llevada y, como digo te gustaría seguir con la lectura. Recomendable.",4,es,"A story that other clients comment is short, very well documented, the plot is well carried and, as I say you would like to continue reading.Advisable."
80,"Fuerte,robusto,buena calidad, un señor cable, como tiene que ser, una nitidez sin perdida de señal. Volveria a comprarlo.",5,es,"Strong, robust, good quality, a cable man, as it has to be, a sharpness without signal loss.I would buy it again."
81,Lo he comprado para regalo y a la mami le ha encantado tanto que pediré otro en otro color,5,es,I bought it as a gift and the mommy has loved it so much that I will ask for another in another color
82,"Poca estabilidad al tener una sola rueda delantera, rápidamente se cae de lado con el niño sentado y éste queda atrapado entre el suelo y el carrito.",2,es,"Little stability When having a single front wheel, it quickly falls sideways with the child sitting and it is caught between the floor and the cart."
83,"Hola, hace ya varios días que no se escucha del lado izquierdo. ¿Qué puedo hacer? (Aparte de escuchar sólo de 1 lado :)",2,es,"Hello, several days ago it is not heard on the left side.What can I do?(Apart from listening only from 1 side :)"
84,"el juego es genial y divertido, pero no sabemos si solo ocurre en nintendo switch y no en el resto de consolas: se cuelga bastante durante las cargas, los combates se quedan en bucle y no terminan, el menu deja de aparecer, con bastante frecuencia... necesita un parche de actualización urgente! es inadmisible que salga a la venta con tantos errores, una pena",2,es,"The game is great and fun, but we do not know if it only occurs in Nintendo Switch and not in the rest of the consoles: it hangs a lot during the loads, the fights remain in loop and do not end, the menu stop appearing, quite frequently... You need an urgent update patch!It is inadmissible to go on sale with so many mistakes, a penalty"
85,"Ofrece lo que promete, nada sofisticado, justo lo que yo necesitaba.",4,es,"It offers what promises, nothing sophisticated, just what I needed."
86,"En mes y medio se ha estropeado. No funciona el botón de volumen, ni la función manos libres ni el avance de pista. Tampoco la función de apagado, tengo que utilizar el reset con un alfiler para apagarlo. La función de restauración de fábrica tampoco funciona. Solo se puede encender y emparejar dispositivo",1,es,"In a month and a half it has broken down.The volume button does not work, nor the hands -free function or the track advance.Nor the off function, I have to use the reset with a pin to turn it off.The factory restoration function does not work either.You can only turn on and match device"
87,Muy cómodas y bonitas pero son algo pesadas y ruidosas.,4,es,Very comfortable and beautiful but they are something heavy and noisy.
88,"Me ha decepcionado bastante este modelo. A pesar de ser recomendada por un amigo peluquero, no puede ser que un producto de este precio solo tenga una estructura bonita y una buena batería (dura muchísimo eso sí), pero qué ocurre con los cabezales? Malos, pocos y de plástico, por tanto he llegado a la conclusión de que hay maquinillas por mucho menos que ofrecen bastante más accesorios, y si bien no estaban acabadas en metal como esta o no tienen una duración de batería tan grande hacen su función perfectamente",2,es,"This model has disappointed me quite a lot.Despite being recommended by a hairdresser, it can't be that a product of this price only has a beautiful structure and a good battery (it lasts a lot yes), but what happens to the heads?Bad, few and plastic, therefore I have concluded that there are quiltles for much less that they offer much more accessories, and although they were not finished in metal like this or they do not have such a large battery life they do their function perfectly"
89,"Buena relación calidad - precio, ahora toca provarlos",4,es,"Good value for money, now it's time to provise them"
90,"El artículo y el envío han sido satisfactorios, cumple totalmente mis expectativas. Es de buena calidad y permite cargar muchos artículos USB.",5,es,"The article and shipping have been satisfactory, fully meets my expectations.It is of good quality and allows you to load many USB items."
91,"En general por el precio que tiene no se puede pedir mas,tiene dos cosas que deberian arreglar como es...si quiero meter un cartucho hay que retirar la funda ya que la funda de atras le falta un pelin para poder meter la uña y abrir el compartimento de los cartuchos,por otro lado las fundas de los joycons estan bien porque protegen bastante pero tiene dos pestañas que son la mar de delicadas y se doblan o parten al quitarlas asique mucho cuidado al quitar las fundas de los joycons ya que si los quieres utilizar como mando juntos en la tele no encajan en el soporte del mando por su espesor;pero calidad precio no es mal producto.",3,es,"In general, for the price you have, you can't ask for more, you have two things that should be fixed as it is ... If I want to put a cartridge you have to remove the cover since the back cover is missing a pelin to be ableOpen the cartridge compartment, on the other hand the covers of the JoyCons are fine because they protect a lot but it has two tabs that are the sea of ​​delicate and bend or leave when they remove them very careYou want to use them together on TV do not fit the support of the control because of their thickness; but quality price is not a bad product."
92,Cumple con las espectativas,4,es,Meets expectations
93,"Es un poco enrevesado de usar. Lo compré para mis padres, que no se llevan bien con las tecnologías y no han sido capaces de aprender a usarlo. Hay que dar a muchos botones para llegar a hacer cosas como borrar mensajes o guardar contactos.",3,es,"It is a bit convoluted to use.I bought it for my parents, who do not get along with technologies and have not been able to learn to use it.You have to give many buttons to get things like deleting messages or save contacts."
94,"Al estar colgada tienes que tener la mano metida dentro o se salen, y para cerrarla bien hay que apretar. Además es demasiado pequeña.",2,es,"Being hanging you have to have your hand inside or leave, and to close it well you have to tighten.It is also too small."
95,"Vía wifi va genial, pero tiene un retraso de 1 segundo o más al usar los interruptores de pared, y eso es molesto.",3,es,"Via Wifi is great, but it has a delay of 1 second or more when using wall switches, and that is annoying."
96,No me ha llegado después de mes y medio,1,es,It has not arrived after a month and a half
97,Al ser una sola pieza se abren los botones de la entrepierna a la que coges el Niño.,2,es,"Being a single piece, the grocery buttons open to which the child takes."
98,Fácil lectura y rápido de leer,4,es,Easy reading and quick to read
99,"No tengo el producto, no ye llegado a mi casa.",1,es,"I don't have the product, I don't go to my house."
100,"A pesar de ser de plástico, es duro y no desprende ningún sabor al agua.",5,es,"Despite being plastic, it is hard and does not detach any taste of water."
101,"El producto tiene muy mala calidad. Un lado tiene tamaño distinto del otro lado y los encajes para montar llegaran de una manera que tuve que arreglarlos yo con herramientas para poder montar la estrutura. Obviamente despues de montarlo no está recto. En la foto se nota la inclinación hacia el lado que parece que está en una pendiente, pero el suelo es recto. De momento puse ahí 80 kilos y lo está sujetando, pero por la mala pinta que tiene no tendría coraje de poner los más de 200 kilos que ponía en la descripción.",2,es,"The product has very poor quality.One side is different from the other side and the lace to mount will arrive in a way that I had to fix them with tools to be able to set up the struture.Obviously after riding it it is not straight.The photo shows the inclination to the side that seems to be on a slope, but the ground is straight.At the moment I put 80 kilos there and is holding it, but because of the bad pint he would have no courage to put the more than 200 kilos he put in the description."
102,Pequeño y potente. Reproduce perfectamente y con calidad dado el tamaño y precio. Estéticamente también es muy agradable y manejable,5,es,Small and powerful.Reproduces perfectly and with quality given the size and price.Aesthetically it is also very pleasant and manageable
103,"Regalo perfecto para mi hija,esta muy contenta",5,es,"Perfect gift for my daughter, she's very happy"
104,"No es fea pero ha sido decepcionante, seguro que las hay iguales por la mitad de precio. El color oro rosa no es como el de la imagen ni de lejos, es de plástico y no brilla apenas",2,es,"It is not ugly but it has been disappointing, surely there are equals in half of the price.Rose gold color is not like the image or far, it is plastic and it does not shine just"
105,"Llegó, tardó mucho en llegar pero llegó. Ya pensábamos que no llegaría y que habíamos perdido el dinero, ni había forma de contactar con el proveedor",3,es,"It arrived, it took a long time to arrive but arrived.We already thought that it would not arrive and that we had lost the money, nor had it been to contact the supplier"
106,"¡Qué alegría! Por fin otra saga de Ruth. La saga tiene muy buena pinta. En este caso el título me despistó y la sinopsis también, pero siendo de Ruth no lo dudé. Va de una joven española (Jimena) y un noble inglés que se coinciden en un acto espía. Divertida, con intrigas y romántica. No son 5 estrellas porque pienso que algunas escenas se han quedado a medias, me ha faltado más trama. Me lo terminé casi de una sentada. Con ganas de leer el siguiente. Recomendable.",4,es,"What a joy!Finally another ruth saga.The saga looks very good.In this case the title confused me and the synopsis too, but being of Ruth I did not hesitate.It goes from a Spanish young woman (Jimena) and an English nobleman who coincide in a spy act.Funny, with intrigues and romantic.They are not 5 stars because I think that some scenes have stayed halfway, I have lacked more plot.I finished almost a sitting.Eager to read the next.Advisable."
107,"Muy rosa y muy grande, es para comprar como 10 barras de pan!",1,es,"Very pink and very large, it is to buy like 10 bread bars!"
108,Cuando escribes el rotulador cuenta mucho que se seque. Creo que es mejor hacerlo con tizas,1,es,"When you write the marker, he tells him a lot to dry.I think it's better to do it with chalk"
109,Me encanta la calidad y resistente,5,es,I love quality and resistant
110,"La clavija de carga se rompio estando dentro del IPad, haciendo que parte de la clavija quedase dentro. Por seguridad, tire el otro cable.",1,es,"The loading plug was broken while inside the iPad, causing part of the plug to be inside.For security, throw the other cable."
